<YYYY-MM-DD hh:mm:ss> - conn: <C>, proc: <P>, err: <E>, val: <V>
2019-02-26 21:56:30 - conn: 75, proc: 56, err: 9, val: 1
2019-02-26 21:57:00 - conn: 130, proc: 65, err: 12, val: 1
2019-02-26 21:57:30 - conn: 80, proc: 59, err: 9, val: 1
2019-02-26 21:58:00 - conn: 50, proc: 40, err: 7, val: 1
2019-02-26 21:58:30 - conn: 125, proc: 70, err: 14, val: 1
2019-02-26 21:59:00 - conn: 180, proc: 87, err: 23, val: 1
2019-02-26 21:59:30 - conn: 220, proc: 90, err: 21, val: 1
2019-02-26 22:00:00 - conn: 253, proc: 96, err: 28, val: 1
2019-02-26 22:00:30 - conn: 100, proc: 70, err: 121212, val: 1
2019-02-26 21:56:00 - conn: 25, proc: 36, err: 21, val: 1
